"providerId","providerName","source","externalId","identifierType","decision","confidenceAtReview","reviewedBy","reviewedAt","reviewNotes"
"21a76094-f4c8-4e4d-b2ec-cec9e71734d1","Choice Hospice","cms_hospice","031598","ccn","approve","0.90","Crawford Outland","2026-08-31T21:35:55Z","Exact address and ZIP match to CMS CHOICE HOSPICE at 2111 EAST HIGHLAND AVENUE, PHOENIX, AZ 85016; normalized name also matches. Competing Choice Hospice records are at different addresses and have more plausible separate CMS candidates."
"8e843524-2848-4738-ab4f-d705b36caa48","Choice Hospice","cms_hospice","031598","ccn","reject","0.10","Crawford Outland","2026-08-31T21:35:55Z","CCN 031598 is tied to the 2111 E Highland Ave location, not this Union Hills provider. This provider has separate same-address CMS candidates and requires independent identity review."
"bfb496c0-4f33-4f64-926e-0c509a81bd04","Choice Hospice","cms_hospice","031598","ccn","reject","0.10","Crawford Outland","2026-08-31T21:35:55Z","CCN 031598 belongs to the Phoenix Highland Ave location. This Tucson provider has a separate plausible CMS candidate, CCN 031716 CHOICE HOSPICE OF ARIZONA, at the Tucson address and should be reviewed independently."
"e2e6ccb4-46e8-4032-a704-4ef607ee4cfb","Traditions Health Hospice","cms_hospice","031659","ccn","approve","0.90","Crawford Outland","2026-08-31T21:35:55Z","Exact address match to CMS TRADITIONS HEALTH at 4732 N Oracle Rd, Tucson, AZ 85705, with strong provider-name agreement. The competing Vitalcaring record shares the building but has no name agreement with the CMS record."
"2fd54edc-bd98-486f-9666-37f6974b5f96","Vitalcaring Hospice Tuscon","cms_hospice","031659","ccn","reject","0.55","Crawford Outland","2026-08-31T21:35:55Z","Provider shares the address with CMS TRADITIONS HEALTH but provider name has no agreement with the CMS identity. CCN 031659 is assigned to Traditions Health; Vitalcaring requires separate identity research."
"fcc9161d-6e73-48a6-b9da-877aeb3e168e","Arizona Best Hospice","cms_hospice","031627","ccn","approve","0.97","Crawford Outland","2026-08-31T21:41:34Z","Human-reviewed approval. Best Hospice and CMS records have the same Arizona Best Hospice identity and exact phone number (928) 783-0705, and both are located in Yuma. Street addresses differ, likely reflecting relocation, stale directory data, or different administrative/service locations. Exact organization name and phone linkage outweigh the address discrepancy."
"48c52e1a-1220-45f1-b906-2235678b9142","AccentCare Hospice","cms_hospice","741652","ccn","approve","0.90","Crawford Outland","2026-08-31T21:41:34Z","Human-reviewed approval. Best Hospice and CMS records represent the same AccentCare hospice location at 17855 Dallas Pkwy, Dallas, TX 75287. CMS includes a suite number omitted from the Best Hospice record. Provider names strongly agree. Phone numbers differ, but exact physical-location and brand agreement provide sufficient evidence for the identity."
"94805f1c-14ec-47dc-91df-e1471cb2937a","Arista Hospice","cms_hospice","031593","ccn","approve","0.97","Crawford Outland","2026-08-31T21:46:36Z","Human-reviewed approval. Exact phone match with strong provider-name and Tucson location agreement. CMS identity is consistent with the Best Hospice provider record."
"2968bb94-4a67-4fe4-8dc9-1314fbcb497d","Arizona Care Hospice Phoenix Area","cms_hospice","031645","ccn","approve","0.97","Crawford Outland","2026-08-31T21:46:36Z","Human-reviewed approval. Exact phone match with strong provider-name and Fountain Hills location agreement."
"caba15e7-a4d7-472a-8d77-682b4c751900","Bluevine Hospice","cms_hospice","971541","ccn","approve","0.97","Crawford Outland","2026-08-31T21:46:36Z","Human-reviewed approval. Exact phone match with strong provider-name agreement and consistent Houston location."
"45bd68a0-273c-45a2-be51-db62c5877999","Hospice of Hope","cms_hospice","031655","ccn","approve","0.97","Crawford Outland","2026-08-31T21:46:36Z","Human-reviewed approval. Exact phone match with strong provider-name and Glendale location agreement."
"855bc8f0-2a02-4a68-ad99-09d77df00d4d","Serenity Hospice and Home Health","cms_hospice","031746","ccn","approve","0.97","Crawford Outland","2026-08-31T21:46:36Z","Human-reviewed approval. Exact phone match with strong provider-name agreement and essentially exact Fort Mohave address match."
"8e94eff6-bd30-4241-b502-50d1056736f6","Ascension Hospice","cms_hospice","001562","ccn","approve","0.90","Crawford Outland","2026-08-31T21:54:52Z","Human-reviewed approval. Best Hospice and CMS identify Ascension Hospice at the same 6263 N Scottsdale Road location in Scottsdale. Provider name and physical location agree strongly. The differing CMS phone does not outweigh the exact location and identity evidence."
"bfb496c0-4f33-4f64-926e-0c509a81bd04","Choice Hospice","cms_hospice","031716","ccn","approve","0.40","Crawford Outland","2026-08-31T21:54:52Z","Human-reviewed approval. This is an intentional separate Choice Hospice location. The low matcher score is an address-normalization artifact. Best Hospice lists Choice Hospice at 5055 East Broadway, Tucson, while CMS lists CHOICE HOSPICE OF ARIZONA at 5055 E Broadway Blvd, Suite C215, Tucson 85711. Street number, street, city, ZIP, organization identity, and location agree. The shared Choice organizational phone is not expected to uniquely identify individual locations."
"03ad0674-c6ab-4720-a137-8655d5810deb","Vitalcaring Hospice Chandler","cms_hospice","031601","ccn","approve","0.70","Crawford Outland","2026-08-31T21:54:52Z","Human-reviewed approval. Best Hospice VitalCaring Chandler corresponds to the CMS Traditions Health certification at the same Chandler location, with matching phone evidence. External transaction research established that VitalCaring acquired Traditions Health hospice operations in Arizona, explaining the current VitalCaring brand versus the legacy CMS Traditions Health identity."
"6dcaefcb-37a7-4ab7-8c4c-ec815582e5e0","Vitalcaring Hospice Scottsdale","cms_hospice","031606","ccn","approve","0.55","Crawford Outland","2026-08-31T21:54:52Z","Human-reviewed approval. Best Hospice VitalCaring Scottsdale corresponds to the CMS Traditions Health certification at the same Scottsdale location. External transaction research established that VitalCaring acquired Traditions Health hospice operations in Arizona, explaining the current VitalCaring brand versus the legacy CMS Traditions Health identity."
"414310a3-2940-4b12-8aa5-db30ae8e383d","Arizona Care Hospice Payson Area","cms_hospice","","ccn","needs_research","","Crawford Outland","2026-08-31T21:59:03Z","No authoritative CMS identity established. Proposed CCN 031633 HOSPICE OF PAYSON LLC shares city/ZIP/street context, but street number, phone, and organization identity differ. Existing matcher name similarity is inflated by generic hospice/location terms."
"de4d53b9-d241-4b6d-8e09-bf3d6344a2bf","Arizona Care Hospice Prescott Area","cms_hospice","","ccn","needs_research","","Crawford Outland","2026-08-31T21:59:03Z","No authoritative CMS identity established. Proposed same-address CMS candidate 031609 QUALITY HOSPICE CARE INC appears to be a co-tenant false positive rather than the same organization."
